"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","cycle/nsecond","10.24",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","cycle/nsecond","2.23",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","19398565",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","87.84",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","1.67",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","msecond","8.68",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","60.41",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","87.84",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","19093948.13",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","59.49",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","INF","The kernel is utilizing greater than 80.0% of the available compute or memory performance of the device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing L2 in the Memory Workload Analysis section.","",""
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","SpeedOfLight_RooflineChart","","","","SOLFPRoofline","INF","The ratio of peak float (fp32) to double (fp64) performance on this device is 64:1. The kernel achieved 2% of this device's fp32 peak performance and 0% of its fp64 peak performance. See the Kernel Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#roofline) for more details on roofline analysis.","",""
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","PM Sampling","Maximum Buffer Size","Mbyte","3.41",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","PM Sampling","Dropped Samples","sample","0",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","PM Sampling","Maximum Sampling Interval","msecond","4.10",
"0","7730","python3.10","127.0.0.1","kernel_unified_attention_2d","1","7","(128, 1, 1)","(2049, 8, 1)","0","8.9","PM Sampling","# Pass Groups","","2",
